GCIS Search Results Export
Generated,2026-01-18 21:03:36
Data Type,Password
Identifier,Bv3Hy8Tz1Uc6Gd0Nf4XeQ7529iKLmVRS
Search,32 x 8-bit strings
Filter,100%

SEARCH STRING
01000010 01110110 00110011 01001000 01111001 00111000 01010100 01111010 00110001 01010101 01100011 00110110 01000111 01100100 00110000 01001110 01100110 00110100 01011000 01100101 01010001 00110111 00110101 00110010 00111001 01101001 01001011 01001100 01101101 01010110 01010010 01010011

STATISTICS SUMMARY
Layer,Bits,Matches,Match_Rate_%,Coverage_%
es15,512,32/32,100.0,50.0000
es16,1024,32/32,100.0,25.0000
es17,2048,32/32,100.0,12.5000
es18,4096,32/32,100.0,6.2500
es19,8192,32/32,100.0,3.1250
es20,32768,32/32,100.0,0.7812
zfa89,461,32/32,100.0,55.5315

LAYER DETAILS
Layer,Bitstring,Char,Positions
es18,01010011,S,"31, 211, 555, 901, 947... (+10)"
es19,01000010,B,"287, 1144, 1168, 1486, 1750... (+28)"
es19,01110110,v,"325, 831, 909, 1116, 1129... (+30)"
es19,00110011,3,"193, 584, 750, 754, 826... (+46)"
es19,01001000,H,"334, 803, 816, 1453, 1726... (+19)"
es19,01111001,y,"48, 429, 517, 579, 643... (+26)"
es19,00111000,8,"34, 926, 956, 1846, 2696... (+32)"
es19,01010100,T,"1224, 1337, 1352, 1370, 2406... (+24)"
es19,01111010,z,"175, 230, 718, 1087, 1280... (+24)"
es19,00110001,1,"108, 267, 311, 1648, 1670... (+23)"
es19,01010101,U,"531, 1049, 1331, 1333, 1335... (+29)"
es19,01100011,c,"268, 483, 1120, 1438, 1559... (+33)"
es19,00110110,6,"1, 143, 245, 1859, 2050... (+32)"
es19,01000111,G,"364, 600, 626, 1032, 1196... (+34)"
es19,01100100,d,"5, 198, 537, 973, 1817... (+25)"
es19,00110000,0,"136, 416, 795, 920, 947... (+35)"
es19,01001110,N,"32, 294, 405, 977, 1552... (+29)"
es19,01100110,f,"194, 453, 585, 751, 755... (+34)"
es19,00110100,4,"28, 697, 708, 841, 1288... (+35)"
es19,01011000,X,"397, 465, 481, 1304, 1436... (+29)"
es19,01100101,e,"208, 759, 1022, 1045, 1190... (+22)"
es19,01010001,Q,"362, 1194, 1339, 1447, 1932... (+25)"
es19,00110111,7,"128, 162, 237, 321, 376... (+26)"
es19,00110101,5,"12, 40, 96, 272, 456... (+27)"
es19,00110010,2,"197, 207, 758, 972, 1189... (+24)"
es19,00111001,9,"74, 221, 296, 407, 777... (+35)"
es19,01101001,i,"20, 29, 1981, 2333, 2370... (+22)"
es19,01001011,K,"462, 1040, 1228, 1374, 1984... (+16)"
es19,01001100,L,"106, 205, 309, 918, 1104... (+34)"
es19,01101101,m,"1538, 2310, 2387, 2482, 2792... (+32)"
es19,01010110,V,"16, 533, 673, 1302, 1396... (+27)"
es19,01010010,R,"332, 460, 1226, 1372, 1724... (+23)"
es19,01010011,S,"292, 317, 876, 1550, 1654... (+23)"
es20,01000010,B,"107, 162, 285, 840, 1336... (+110)"
es20,01110110,v,"155, 276, 518, 692, 1024... (+118)"
es20,00110011,3,"271, 485, 496, 627, 912... (+119)"
es20,01001000,H,"372, 1044, 1285, 1479, 1813... (+123)"
es20,01111001,y,"2, 785, 822, 946, 959... (+111)"
es20,00111000,8,"44, 216, 227, 260, 500... (+124)"
es20,01010100,T,"140, 606, 726, 810, 1040... (+122)"
es20,01111010,z,"30, 791, 897, 1064, 1158... (+111)"
es20,00110001,1,"134, 146, 266, 1297, 1548... (+122)"
es20,01010101,U,"469, 604, 808, 1116, 1434... (+120)"
es20,01100011,c,"199, 267, 1298, 1549, 1554... (+125)"
es20,00110110,6,"195, 334, 365, 507, 612... (+123)"
es20,01000111,G,"41, 213, 375, 514, 881... (+135)"
es20,01100100,d,"359, 461, 522, 1004, 1369... (+127)"
es20,00110000,0,"15, 244, 314, 452, 489... (+122)"
es20,01001110,N,"100, 152, 574, 814, 845... (+124)"
es20,01100110,f,"486, 1080, 1545, 1673, 2487... (+120)"
es20,00110100,4,"37, 299, 446, 1485, 1720... (+107)"
es20,01011000,X,"112, 119, 995, 1133, 1566... (+123)"
es20,01100101,e,"64, 404, 433, 776, 975... (+107)"
es20,01010001,Q,"309, 653, 659, 1120, 1200... (+122)"
es20,00110111,7,"893, 1083, 1095, 1507, 1637... (+123)"
es20,00110101,5,"322, 398, 827, 856, 872... (+123)"
es20,00110010,2,"358, 432, 1003, 1676, 1749... (+101)"
es20,00111001,9,"183, 682, 816, 907, 1056... (+126)"
es20,01101001,i,"369, 447, 1071, 1178, 1282... (+101)"
es20,01001011,K,"550, 737, 1130, 1683, 2107... (+104)"
es20,01001100,L,"144, 450, 1011, 1077, 1163... (+98)"
es20,01101101,m,"335, 366, 508, 613, 969... (+137)"
es20,01010110,V,"68, 173, 769, 965, 1532... (+132)"
es20,01010010,R,"648, 1042, 1128, 1681, 1925... (+101)"
es20,01010011,S,"98, 142, 608, 780, 812... (+101)"
zfa89,01000010,B,"11, 37, 42, 105"
zfa89,01110110,v,438
zfa89,00110011,3,"351, 410"
zfa89,01001000,H,"65, 377"
zfa89,01111001,y,386
zfa89,00111000,8,191
zfa89,01010100,T,"318, 448"
zfa89,01111010,z,51
zfa89,00110001,1,"23, 266"
zfa89,01010101,U,"117, 363"
zfa89,01100011,c,"24, 267"
zfa89,00110110,6,4
zfa89,01000111,G,"163, 215"
zfa89,01100100,d,"272, 339, 356"
zfa89,00110000,0,"207, 345"
zfa89,01001110,N,"110, 189, 231, 276"
zfa89,01100110,f,"335, 352, 411"
zfa89,00110100,4,"324, 414"
zfa89,01011000,X,254
zfa89,01100101,e,"309, 422"
zfa89,01010001,Q,405
zfa89,00110111,7,"283, 434"
zfa89,00110101,5,140
zfa89,00110010,2,"271, 338, 355, 421"
zfa89,00111001,9,"197, 278"
zfa89,01101001,i,325
zfa89,01001011,K,"251, 452"
zfa89,01001100,L,343
zfa89,01101101,m,"5, 442"
zfa89,01010110,V,"75, 119, 305, 331, 365"
zfa89,01010010,R,"63, 133, 300, 313, 450"
zfa89,01010011,S,"144, 229, 320"
